,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost (Singular),Original Price,OrderDate_x,ShipDate,Product cat,Product Subcat,ProductID,OrderPID,CustomerID,OrderDate_y,ProductPID
0,CA-2020-152156,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0.0,41.9136,110.0232,130.98,2020-11-08,2020-11-11,FUR,BO,10001798,1,CG-12520,2020-11-08,1
1,CA-2020-117681,Standard Class,HF-14995,Herbert Flentye,Consumer,United States,Los Angeles,California,90004,West,FUR-BO-10001798,Furniture,Bookcases,556.665,5,0.1499999999999999,6.549000000000021,110.0232,130.98,2020-04-09,2020-04-14,FUR,BO,10001798,781,HF-14995,2020-04-09,1
2,CA-2021-159793,Standard Class,SV-20365,Seth Vernon,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10001798,Furniture,Bookcases,130.98,2,0.5,-89.06639999999999,110.0232,130.98,2021-08-25,2021-08-29,FUR,BO,10001798,399,SV-20365,2021-08-25,1
3,CA-2021-110198,First Class,AG-10900,Arthur Gainer,Consumer,United States,Coral Springs,Florida,33065,South,FUR-BO-10001798,Furniture,Bookcases,314.352,3,0.2,-15.71759999999999,110.0232,130.98,2021-05-01,2021-05-02,FUR,BO,10001798,4226,AG-10900,2021-05-01,1
4,CA-2020-152156,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,731.9399999999998,3,0.0,219.582,170.786,243.98,2020-11-08,2020-11-11,FUR,CH,10000454,1,CG-12520,2020-11-08,2
5,CA-2020-114489,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,FUR-CH-10000454,Furniture,Chairs,1951.84,8,0.0,585.5519999999999,170.786,243.98,2020-12-05,2020-12-09,FUR,CH,10000454,1600,JE-16165,2020-12-05,2
6,CA-2018-154963,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013,East,FUR-CH-10000454,Furniture,Chairs,853.9299999999998,5,0.2999999999999999,0.0,170.786,243.98,2018-06-22,2018-06-27,FUR,CH,10000454,4423,AA-10645,2018-06-22,2
7,CA-2020-120530,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,New York City,New York,10035,East,FUR-CH-10000454,Furniture,Chairs,658.746,3,0.1,146.388,170.786,243.98,2020-04-07,2020-04-12,FUR,CH,10000454,1393,Dl-13600,2020-04-07,2
8,CA-2018-107818,Standard Class,MC-17275,Marc Crier,Consumer,United States,Pasco,Washington,99301,West,FUR-CH-10000454,Furniture,Chairs,975.92,5,0.2,121.9899999999999,170.786,243.98,2018-09-08,2018-09-14,FUR,CH,10000454,4805,MC-17275,2018-09-08,2
9,CA-2021-143567,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,975.92,4,0.0,292.776,170.786,243.98,2021-11-02,2021-11-05,FUR,CH,10000454,11,TB-21175,2021-11-02,2
